stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,261.53,40.86,0,61.3,0,0,0,0,0,0,0,0,16.35,0,0,0,0,4.09,0,0,408.64,0,0,0,20.43,53.12,0,4.09,0,0,0,0,0,0,0,0
72hpf,278.15,4.28,0,11.77,1.07,8.56,0,1.07,0,0,0,0,0,0,0,1.07,0,4.28,11.77,0,36.37,0,0,31.02,103.77,10.7,0,9.63,0,1.07,2.14,0,6.42,0,0,0
21Day,87,0,0,8.03,9.37,4.02,0,0,0,0,0,0,0,0,0,0,1.34,1.34,2.68,0,49.53,0,0,101.73,14.72,2.68,0,4.02,4.02,1.34,0,2.68,0,0,0,1.34
3Month,39.99,1.92,0.32,6.72,3.2,0,0.32,0.64,0.96,0.64,0,1.92,0,6.72,2.24,0,1.92,6.4,0.32,2.24,39.03,1.6,0,34.55,0.64,0.32,0.32,0,1.6,12.16,0.32,0,0.32,18.24,51.19,0
22Month,26.24,1.09,0,6.01,0.55,0,0.55,0,1.09,0.55,2.73,1.64,0,20.77,0.55,1.09,0,1.09,1.09,3.83,6.56,0,0.55,25.69,0.55,0,5.47,0,0,19.13,0,0,1.09,0.55,0.55,1.64
