stage,Epithelial_cell,Hepatocyte,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Radial_glia
24hpf,8.17,0,0,0,0,20.43,0
72hpf,1.07,0,1.07,1.07,1.07,3.21,1.07
21Day,0,1.34,1.34,0,4.02,0,0
3Month,0.32,0.32,0.32,0,0,0,0
