stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0
72hpf,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14,0,1.07,0,0,0,4.28,0,0,0,5.35,0,0,0,0,0,0,0
21Day,0,0,0,8.03,2.68,0,1.34,0,0,0,0,0,2.68,0,0,0,0,14.72,0,0,1.34,5.35,0,0,0,9.37,0,0,0,4.02,0,0,0
3Month,0,1.6,0.32,8,0,0.32,0,0,0.64,0,6.4,0.64,0,2.56,0.32,6.08,1.92,4.16,1.28,0,0.32,0,0,0,1.28,0,0.64,2.24,0,0.32,1.6,0.32,0.32
22Month,0,0.55,0,5.47,0,0,0,1.64,2.73,0.55,31.71,1.64,1.64,7.11,0.55,1.09,3.28,7.65,0,1.09,0.55,0,0,0.55,0.55,0.55,0,1.09,0.55,0,0,0,0.55
