stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,1.07,0,0,0,0,0,0,1.07,0,0,0,0,0
21Day,2.68,0,0,4.02,6.69,0,1.34,0,0,0,0,0,96.37,1.34,2.68,2.68,116.45,6.69,0,0,5.35,0,9.37,9.37,0,0,0,6.69,9.37,0,1.34,1.34,0,0,44.17
3Month,0,1.6,0.32,18.56,0,0.96,0,2.24,3.2,0.32,13.76,4.48,23.68,7.04,0.32,3.2,221.08,6.08,0.64,0.32,0.96,0.96,0.32,1.6,0.32,1.92,0,0.32,2.24,21.12,0.64,0,1.6,5.76,113.26
22Month,0,1.64,1.09,6.56,0,1.09,0,0,7.65,0.55,18.59,3.83,7.11,6.56,1.64,0.55,71.07,9.29,0,0.55,0.55,0.55,1.09,0,1.09,0.55,0.55,0,1.64,44.83,0,0.55,0,0,152.52
