stage,Epithelial_cell,Erythroid_progenitor_cell,Mesenchymal_cell,Primordial_germ_cell,T_cell
24hpf,0,0,4.09,0,0
72hpf,1.07,0,0,0,0
21Day,0,0,0,0,1.34
3Month,0,0.32,0.32,0.32,0
