stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,20.43,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,4.09,28.6,0,0,0,0,0,0,0
72hpf,14.98,1.07,2.14,1.07,0,0,0,0,0,0,2.14,0,48.14,0,7.49,2.14,85.58,0,0,0,7.49,0,0,0
21Day,16.06,0,4.02,2.68,0,0,0,0,0,0,1.34,0,92.36,12.05,2.68,0,50.86,4.02,0,2.68,2.68,0,0,2.68
3Month,0.32,0,1.28,0,0.32,0.32,0.64,1.6,0,0,0.32,0.96,6.4,0.32,0,0,0,0,0.32,0,0,0.32,0.32,0
22Month,0,0,0,0,0.55,0.55,0,15.31,0.55,0.55,0,1.64,1.09,0,0,0,0,0,0,0,0,0,0,0.55
