stage,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Oligodendrocyte,Pancreatic_cell
21Day,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0
3Month,0,0,0,0,0,0,8.96,0,0,0.32,0,0,0,0,0.32
22Month,0.55,0.55,0.55,0.55,1.09,0.55,126.28,1.64,0.55,1.09,1.64,1.09,0,0.55,0.55
