stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,7.49,7.49,0,2.14,0,0,3.21,0,0,0,0
21Day,2.68,0,1.34,2.68,0,0,0,0,0,0,1.34,0,0,4.02,0,0,2.68,2.68,0,1.34,0,0,0,1.34,0,0,0
3Month,0,0,3.2,0,0.32,0,2.88,0,0,0.96,0,1.6,0.96,0.64,0.64,0.64,0.32,0,0.96,0,0.32,2.56,0,0,0.64,2.56,0.64
22Month,0,0.55,1.64,0,0,0.55,7.11,0.55,0.55,0,0,0,1.09,1.09,0,0.55,0.55,0,0,0,0.55,1.09,0,0,0,0,0.55
