stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,8.17,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.63,0,0,0,0,0,0,6.42,4.28,0,0,0,0
21Day,1.34,1.34,0,2.68,0,0,0,0,0,0,0,1.34,0,0,1.34,1.34,5.35,0,0,0,30.79,1.34,0,0,1.34,0,0,50.86,141.88,4.02,0,0,1.34
3Month,0.32,0,0.64,4.48,0.64,0.32,0.64,1.28,0,13.76,1.28,0,2.24,0.32,1.92,2.24,2.56,0.32,0.32,0.96,0,0.32,0.32,0,0.32,0.96,2.88,0.32,0,0.32,0.64,2.56,1.92
22Month,2.73,1.64,2.73,8.2,0.55,0,4.92,18.04,7.11,213.2,3.28,4.37,18.59,0.55,3.83,10.93,8.75,3.28,2.73,0,0.55,0,2.19,1.09,0.55,0,0.55,4.37,1.64,0.55,0,0,0.55
