stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,4.09,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0
72hpf,6.42,0,12.84,2.14,2.14,0,0,0,0,0,0,1.07,5.35,0,75.96,0,5.35,11.77,3.21,0,0,0,150.84,0,0,3.21,0,0,0
21Day,5.35,0,1.34,0,0,0,0,0,0,0,0,0,0,5.35,46.85,0,8.03,0,2.68,0,0,0,33.46,0,0,0,0,0,0
3Month,0,0.64,2.24,0,0,3.52,0,1.6,0.96,0.32,0.32,0,0,9.92,31.67,3.52,28.16,0,0,0.32,0,0,8.64,0.64,0,0.64,2.88,0.32,0.32
22Month,0,0,0,0,0,3.83,13.12,8.2,3.28,1.09,0,0,0.55,6.01,32.25,0,18.59,0,0,0.55,0.55,0.55,5.47,0,0.55,0,1.09,0,0
