stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,12.26,32.69,0,0,0,0,0,0,0,0
72hpf,1.07,0,3.21,0,1.07,0,0,0,0,0,0,2.14,2.14,0,1.07,0,0,0,0,6.42,7.49,0,0,0,2.14,2.14,0,0,0
21Day,2.68,0,9.37,1.34,2.68,1.34,1.34,0,0,0,1.34,0,6.69,1.34,5.35,0,0,1.34,0,2.68,1.34,1.34,1.34,0,0,0,1.34,0,2.68
3Month,0,0.64,4.48,0,0,0.32,1.28,3.2,0.96,0,3.2,0.96,1.28,1.28,1.92,0.32,0,0.32,0.32,0.32,0,0.64,0,3.84,0,0,0,0.96,1.6
22Month,0,0.55,4.92,0,0,0,1.09,27.88,0,0.55,7.65,0,0,2.19,1.09,0,0.55,1.64,0,0,0,0,0,4.37,0.55,1.64,0,0.55,1.64
