stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,2.14,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,6.69,0,0,0,0,0,4.02,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0
3Month,0,0.64,1.92,3.84,0.96,0.32,0.64,0.64,0,423.29,2.56,8.32,0.32,8.32,2.24,9.92,1.6,0,0.96,1.6,0.64,0.64,0.96,0,3.52,0.32,4.16,0,0.64,1.28,1.28
22Month,0.55,0,0.55,1.09,0.55,0.55,0,2.19,1.09,395.23,1.09,1.64,0,0,2.19,4.92,0,8.2,1.09,0,0,0,0,0,1.09,0,0.55,0.55,1.09,0,1.09
