stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0
72hpf,1.07,0,1.07,0,0,0,0,0,1.07,0,0,1.07,0,0,19.26,2.14,0,0,0,0
21Day,2.68,0,2.68,0,1.34,0,0,0,0,0,0,0,0,0,18.74,1.34,0,0,0,0
3Month,0,0.32,1.92,0.32,4.48,0.64,0,0.64,0,0.64,0.32,0,0.32,0.32,31.36,0,0.32,0.32,0.96,0.32
22Month,0,0,0.55,0.55,4.37,0.55,0.55,0,0,0,0,0,0,0,14.76,0,0,0,0,0
