stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,28.6,0,0,0,0,0,0,0,0,0,0,0,0,4.09,20.43,0,8.17,0,0,0,0,0,16.35,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,3.21,0,0,25.67,0,0,0,0,0,0,0,0,0,0,1.07,0,5.35,32.09,0,2.14,0,1.07,0,0,4.28,4.28,0,0,0,0,0,2.14,0,0,0,0,0,0
21Day,1.34,0,1.34,294.48,12.05,0,0,0,2.68,0,0,0,0,0,0,9.37,5.35,61.57,20.08,4.02,0,0,14.72,1.34,14.72,4.02,22.76,14.72,4.02,5.35,4.02,1.34,1.34,1.34,0,0,0,1.34
3Month,1.28,7.36,8.64,1772.52,0,9.28,1.6,1.28,227.8,27.52,0,0,55.35,30.72,3.84,99.82,18.88,383.94,98.54,24.96,5.12,0.32,354.18,11.2,4.48,0.96,156.78,6.72,1.92,17.28,31.36,2.88,0.32,0,0.32,22.72,15.68,18.24
22Month,0,6.01,9.84,505.66,0,2.19,1.64,0,63.41,15.31,0.55,0.55,55.21,2.73,1.64,98.4,3.28,82.54,25.15,16.4,0.55,2.73,273.33,0,1.09,0,119.72,1.64,1.64,0.55,24.05,1.64,0.55,0,0,0.55,0,7.11
