stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,89.9,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,2.14,0,0,0,1.07,0,0,47.07,13.91,0,0,0,6.42,0,0,3.21,0,0,0,0,0
21Day,1.34,0,0,2.68,0,1.34,0,0,0,0,1.34,0,0,0,0,0,8.03,0,0,0,0,16.06,1.34,1.34,1.34,0,2.68,2.68,0,0,1.34,0,0,0,0
3Month,0,0.96,0.32,10.56,1.28,0,0.32,0.96,3.2,14.72,2.56,0.64,3.2,1.6,2.88,0.96,3.84,0.32,0,0.32,1.6,1.6,0.32,0.64,0,0,0.64,1.92,16.32,0,0,0.32,2.24,376.58,2.24
22Month,0,0.55,0,0.55,0.55,0,0,0,1.09,5.47,0,0.55,0,0,0,0.55,1.64,0.55,0,0,0,0,0,0,0,0.55,0,0.55,0.55,0,0,0,0,0,0
