stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,49.04,12.26,0,69.47,0,0,0,0,0,0,0,0,0,0,0,0,20.43,40.86,61.3,0,0,0,0,44.95,964.39,0,0,8.17,0,0,0,0,0,0,0,0,0
72hpf,8.56,5.35,0,11.77,7.49,4.28,0,0,0,0,1.07,0,0,0,0,6.42,31.02,1.07,18.19,0,0,2.14,0,144.42,159.4,2.14,4.28,12.84,0,0,17.12,2.14,1.07,6.42,0,0,0
21Day,12.05,5.35,1.34,68.27,2.68,1.34,0,0,0,0,0,0,0,1.34,2.68,4.02,50.86,6.69,18.74,0,0,4.02,0,73.62,74.96,1.34,4.02,2.68,10.71,1.34,12.05,4.02,1.34,5.35,0,0,0
3Month,0.32,0.96,2.56,30.72,0,0,0.32,5.44,3.52,0,0,24.64,1.6,0,22.4,2.56,12.48,1.92,4.8,0.64,0,2.56,1.6,4.16,0,1.6,1.6,0.32,3.84,7.68,0,0,0,0,0.64,10.24,1.92
22Month,0,4.92,3.83,20.77,0,0,1.09,5.47,1.64,2.19,0,67.79,2.19,0,37.17,1.64,1.09,5.47,2.19,0,1.64,2.73,0,0.55,0.55,4.92,0,0,0.55,2.19,0,1.64,0,0,0,0,0.55
