stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Ionocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,8.17,4.09,0,0,0,8.17,0,0,0,0
72hpf,1.07,0,0,0,0,0,1.07,0,0,2.14,0,0,0,0,3.21,1.07,0,0,0,0
21Day,0,0,8.03,1.34,1.34,0,0,0,2.68,0,1.34,1.34,0,0,1.34,2.68,1.34,0,1.34,0
3Month,0,0.32,1.6,0,0,0.32,0,0.32,0,0,0,0,0.32,0.32,0,0,0,0.32,0,0.32
22Month,0,0,0,0,0,0,1.09,0.55,0,0,0,0,0,0,0,0,0,0,0,0
