stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia
24hpf,8.17,12.26,44.95,0,0,0,0,0,4.09,0,0,0,20.43,28.6,49.04,0,0,16.35,286.05,8.17,0,0,0
72hpf,1.07,1.07,1.07,2.14,9.63,0,0,0,0,0,0,0,2.14,0,3.21,0,0,18.19,28.88,6.42,1.07,1.07,4.28
21Day,1.34,0,4.02,0,13.39,2.68,0,1.34,0,0,0,2.68,0,0,2.68,1.34,0,5.35,10.71,1.34,1.34,0,0
3Month,0,0,0,0,0,0,0,0,0,0.96,0.32,0,0,0,0,0,0.32,0,0,0,0,0.64,0
22Month,0,0,0,0,0,0,0.55,0.55,0,1.09,0.55,0,0,1.09,0,0,0,0,0,0,0,0,0
