stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,32.69,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,1.07,0,0,1.07,0,0,0,0,0,0,0,0,0,8.56,12.84,0,0,0,0,0,0,19.26,8.56,1.07,1.07,0,1.07,0,0,1.07,1.07,2.14,0,0,0
21Day,0,1.34,1.34,12.05,0,0,2.68,0,0,0,2.68,1.34,4.02,0,0,2.68,1.34,6.69,0,0,2.68,0,6.69,8.03,0,1.34,0,0,2.68,1.34,1.34,2.68,0,0,0,2.68
3Month,0,1.6,1.6,33.59,1.28,0.96,0.32,8.64,6.4,0,109.74,8.96,2.24,8.96,1.28,5.44,5.12,4.16,0.96,0.32,0.64,0.96,1.28,0.32,0.96,0.64,0,0,0.96,14.08,1.28,0,0,2.24,2.24,10.88
22Month,0,6.01,3.28,15.85,1.64,0,0.55,6.56,15.31,4.37,112.06,5.47,0,7.65,0.55,1.64,10.93,6.01,0.55,1.09,3.28,0,1.09,0.55,2.19,0,0.55,0,0.55,1.09,3.28,1.09,0,1.64,0,6.01
