stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,4.09,4.09,0,0,0,0,0,0,0,0,0,4.09,0,4.09,8.17,0,0,0,0,0,81.73,0,0,4.09,0,0,0,0,0,0,0,0
72hpf,4.28,0,0,2.14,0,0,0,0,0,0,0,0,0,0,1.07,3.21,0,7.49,0,0,0,0,9.63,8.56,0,0,2.14,0,0,0,1.07,0,0,0,0
21Day,1.34,0,0,2.68,5.35,0,2.68,0,0,0,0,0,0,0,0,4.02,1.34,4.02,0,0,1.34,0,2.68,1.34,0,0,1.34,1.34,0,1.34,2.68,1.34,0,0,1.34
3Month,0,2.24,0,9.6,0,0.32,0,0.96,2.24,0,6.72,1.92,0.64,0.96,2.24,1.92,0.96,2.88,0.32,0,0.64,0.32,0,0.32,0.64,0.32,0,0.64,0.64,6.08,0.64,0,1.28,27.84,2.56
22Month,0,1.64,1.09,4.37,0,0.55,0,0,3.83,3.28,18.04,1.64,1.64,5.47,0,1.09,3.83,4.37,0,0.55,0,0,1.09,0,0,0,0,0,0,0,0,0,0.55,0,1.09
