stage,Epithelial_cell,Immune_cell,Macrophage,Mesenchymal_cell,Neural_cell,Osteoblast,Retinal_cell,Retinal_cone_cell,T_cell
24hpf,0,0,0,0,0,4.09,0,0,0
72hpf,0,0,0,0,3.21,0,0,0,0
21Day,0,0,0,1.34,0,0,18.74,45.51,1.34
3Month,0.32,0.32,0.32,0,0,0,0,0,0
