stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,4.28,0,0,2.14,0,0,0,0,0,3.21,0,1.07,2.14,0,1.07,0,0,0,0,3.21,0,0,0,0,0,4.28,0,0,0,0
21Day,2.68,9.37,0,1.34,0,1.34,0,0,0,0,2.68,0,0,0,10.71,0,0,0,0,1.34,0,0,0,0,0,0,0,1.34,0,0,2.68
3Month,0,72.31,0.32,5.76,1.28,18.56,0.96,0,7.04,5.12,9.28,1.28,0.32,1.6,31.36,1.92,2.24,0.32,0.64,0,0,0,0,0,0.64,0.64,0.32,0,0.96,0.96,3.2
22Month,0,88.01,0,3.83,1.09,9.84,1.64,1.09,27.33,3.83,6.01,4.92,0,0,10.93,2.19,0,1.64,0,0,0,0.55,0.55,1.09,0,3.83,0.55,0,0,0,0
