stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,16.35,8.17,0,16.35,0,0,0,0,0,0,0,0,98.07,0,0,8.17,306.48,0,0,0,0,0,0,0,0,0,0
72hpf,4.28,0,0,5.35,5.35,0,0,0,0,1.07,10.7,1.07,26.74,0,0,19.26,74.89,0,5.35,0,0,1.07,0,0,0,0,0
21Day,1.34,0,1.34,14.72,4.02,1.34,0,0,0,0,5.35,0,14.72,0,1.34,2.68,42.83,0,16.06,4.02,0,0,1.34,0,0,0,0
3Month,0,0,0,5.12,0,0,0,2.24,0.32,0,1.92,0.96,8.32,0,0,0,0.32,0.32,0,0.32,0.64,0,0,0.32,1.28,7.36,0.32
22Month,0,0,0,0,0,0,0.55,2.73,0,0,0.55,0,1.64,0.55,0,0,0.55,0,0,0,2.19,0,0,0,0,0,0
