stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,1.07,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,1.07,0,0,0,0,0,4.28,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.69,0,0,0
3Month,0.32,4.8,0,0.32,0.32,0.96,0,5.44,1.92,2.88,0.32,0.96,2.24,0.64,1.28,0,0.32,0.96,0.96,0,0.32,0.32,0,0.32,0.96,201.89,1.28,22.4,1.6
22Month,0,1.64,0,0.55,0,1.09,0.55,10.93,0.55,3.83,0,0.55,0,0.55,0,0.55,0.55,0.55,0,0,0,0,3.83,0,0.55,56.31,0,0,0.55
