stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,20.43,0,0,0,0,0,0,0,8.17,0,8.17,20.43,0,0,12.26,114.42,0,0,4.09,0,0,0,0,4.09,0,0,0
72hpf,3.21,1.07,4.28,4.28,1.07,1.07,1.07,0,0,0,3.21,12.84,1.07,6.42,1.07,1.07,218.24,25.67,0,18.19,54.56,0,0,9.63,1.07,1.07,0,0,0
21Day,4.02,0,21.42,0,1.34,4.02,0,0,2.68,0,2.68,10.71,2.68,16.06,5.35,0,57.56,8.03,1.34,13.39,24.09,2.68,0,1.34,0,0,0,0,6.69
3Month,0,0,0.64,0,0,0,0.32,2.56,0,0,0,0,0.32,0,0,0,0.32,0,0,0,0,0.32,0.96,0,0,0,0.96,0.32,0.32
22Month,0,0.55,0,0,0,0,0,5.47,0,0.55,0,0,0,0,0,0,0,0,0.55,0,0,0,0,0,0,0,0.55,0,0.55
