stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Smooth_muscle_cell,Spermatocyte
24hpf,8.17,0,0,4.09,0,0,0,0,0,0,0,0,4.09,0,4.09,0,0,0,12.26,0,0,0,0
72hpf,0,0,0,9.63,1.07,0,0,0,0,0,0,0,2.14,31.02,0,1.07,2.14,1.07,4.28,4.28,0,0,0
21Day,0,0,0,25.43,0,0,0,0,0,0,0,0,0,16.06,0,5.35,2.68,1.34,0,1.34,1.34,0,0
3Month,0,0.32,0,49.59,0,0.64,2.88,0,0.96,0.32,0.32,0.32,4.48,16.32,0,1.28,2.24,0.32,0,0,0.64,0.64,0.32
22Month,0,0,1.09,6.01,0,0,0,0.55,2.73,0,0,0,2.73,1.64,0,4.37,0.55,0,0,0,0,0,0
