stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,2.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.28,1.07,0,0,0,0,0,0,0,0
21Day,1.34,0,0,5.35,0,0,0,0,1.34,0,0,0,0,0,0,1.34,0,0,30.79,0,4.02,0,0,0,1.34,0,0,0,0,0
3Month,0,1.28,0.32,15.04,0,10.56,1.28,0,5.76,3.52,0.64,3.84,0.32,1.6,1.28,0.96,0.64,0,151.98,0.32,0,0,0,0.32,4.8,0.64,0.32,0.64,3.2,0.96
22Month,0,3.83,0,6.01,0,2.19,1.09,1.09,61.77,0.55,0.55,6.56,0,1.09,1.64,2.73,0.55,0.55,98.94,0,0,0,0.55,0.55,16.95,0,1.09,0,0,0.55
