stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.35,0,0,0,0,0,0,0
72hpf,3.21,0,0,0,2.14,0,0,0,0,0,0,2.14,0,0,13.91,0,0,0,0,10.7,0,0,2.14,0,0,0,0,0
21Day,0,0,1.34,1.34,2.68,0,0,0,0,0,0,0,1.34,0,20.08,0,0,0,0,4.02,0,0,0,0,0,0,0,0
3Month,0,0.32,0.64,19.84,0,0.32,2.88,0.32,0,16.32,9.6,0.64,0.64,1.28,6.72,1.28,0,0.96,3.2,0.32,0,0.96,0,0.64,1.6,7.68,2.24,0.32
22Month,0,0.55,3.28,6.01,0,0,0.55,0.55,0.55,33.35,6.01,0,0,0.55,1.09,0,1.64,0.55,0.55,0,0,0.55,0,0,0,0,0,0.55
