stage,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,16.35,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,13.91,0,0,8.56,5.35,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,6.69,0,0,4.02,0,1.34,0,0,0
3Month,0,0.96,0,0,0,0.32,0.32,0.32,0,0.32,0.32,0.32,0,0.32,0,0,0,0.32,0.32,0.64
22Month,0.55,1.09,0.55,0.55,0.55,9.29,0.55,1.64,0.55,0,0.55,0.55,0.55,0,0,0,0.55,1.64,0,0
