stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Primordial_germ_cell,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,4.09,0,4.09,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,2.14,1.07,0,0,0,0,0,0,0,0,0,0,1.07,4.28,0,1.07,0,0,0,0,10.7,6.42,0,0,0,0,0,1.07,0,0,0
21Day,1.34,0,6.69,0,0,2.68,0,1.34,0,0,4.02,0,0,0,0,1.34,0,6.69,0,0,1.34,0,1.34,5.35,1.34,0,2.68,0,0,0,0,0,0
3Month,0.64,0.64,5.12,0,0.96,0,0.32,0,0,0,26.56,1.6,0,2.56,0.32,2.56,2.56,2.56,0.64,0,1.28,0.32,1.28,0.32,0.64,0,0,5.44,0,0,0.64,63.99,0.96
22Month,1.09,0.55,2.19,0,0.55,0,0,0,2.73,0,52.48,0,0.55,0.55,0,0,2.73,0.55,0,1.09,0,0,0,0,0.55,0.55,0,1.64,0.55,0,0,0,0
