stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell
24hpf,0,0,4.09,0,0,0,0,0,36.78,0,0,0,0,8.17,0,0,81.73,0,0,4.09,8.17,0,0,0,0,0,0,0,0,0,0
72hpf,10.7,1.07,7.49,2.14,5.35,0,0,0,0,0,0,0,0,0,7.49,0,21.4,0,1.07,685.74,14.98,1.07,0,36.37,0,0,7.49,0,0,1.07,0
21Day,6.69,0,6.69,0,14.72,0,0,0,0,0,0,4.02,0,1.34,4.02,0,18.74,0,0,286.45,6.69,1.34,4.02,8.03,10.71,0,4.02,1.34,4.02,0,0
3Month,0.32,0,6.08,0,0,0.32,1.28,0.32,0,2.56,0.64,0,0.64,0.64,4.48,0.64,1.6,0.32,0,1.92,0,0.64,0,0,0,0.96,0,0,0,0,0.32
22Month,0,0,0,0,0,0,0.55,0.55,0,7.11,0.55,0,0.55,0,0,0.55,1.09,0,0,2.19,0,0.55,0,0,0.55,0,0,0,0,0,0
