stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,12.26,20.43,0,0,0,0,16.35,28.6,0,0,8.17,0,0,0,0,0
72hpf,1.07,1.07,0,17.12,1.07,1.07,0,3.21,0,0,0,2.14,1.07,5.35,35.3,3.21,29.95,0,3.21,0,3.21,22.47,11.77,0,0,34.23,0,0,4.28,5.35,0
21Day,2.68,0,0,6.69,0,1.34,0,1.34,0,1.34,1.34,4.02,1.34,2.68,5.35,13.39,30.79,0,0,5.35,1.34,9.37,4.02,1.34,0,18.74,1.34,0,0,1.34,4.02
3Month,0.32,0,0.64,2.56,0,0,0.32,0,0,94.7,1.28,0,1.6,0.96,0.64,13.76,0.64,0,0.32,0,0,0,0,0,0.32,0,1.6,0.32,0,0,0.64
22Month,0.55,0.55,0,2.73,0,0,0.55,0,5.47,159.62,0,0,0.55,0,0.55,12.03,3.28,0.55,8.2,0.55,0.55,0,0,0,0,0,0,0,0,0.55,0
