stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Osteoblast,Primordial_germ_cell,Retinal_pigment_epithelial_cell
24hpf,4.09,24.52,4.09,0,0,12.26,24.52,4.09,89.9,0,8.17,0,0
72hpf,1.07,1.07,0,0,1.07,41.72,2.14,5.35,1.07,0,1.07,2.14,2.14
21Day,0,0,0,0,0,0,0,0,2.68,0,0,1.34,0
22Month,0,0,0,0.55,0,0,0,0,0,6.01,0,0,0
