stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Granulosa_cell,Hepatocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte
24hpf,0,0,0,4.09,0,0,0,0,0,0,28.6,16.35,0,0,0,24.52,0,0,0,0,0
72hpf,1.07,0,0,0,3.21,0,1.07,0,0,3.21,0,1.07,0,0,10.7,5.35,1.07,1.07,2.14,1.07,0
21Day,0,1.34,1.34,0,0,0,0,0,0,2.68,2.68,4.02,0,1.34,2.68,1.34,1.34,0,0,0,0
3Month,0,0,0.32,0,0,0,0.96,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.64
22Month,0,0,0.55,0,0,0.55,1.64,1.09,16.4,0,2.19,0,0.55,0,0,0,0,0,0,0,0
