stage,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,4.09,0,0,32.69,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,2.14,2.14,0,0,0,0
21Day,0,0,0,0,0,0,1.34,0,0,1.34,4.02,1.34,0,1.34,0,0
3Month,0.32,1.28,0.32,0.64,0.32,2.88,0,0.32,0,1.28,0,0.32,0.32,0,4.48,8.32
