stage,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,4.09,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14,3.21,0,0,0,0,0,0
21Day,0,1.34,0,0,0,0,0,0,0,0,0,0,0,1.34,2.68,0,0,0,2.68,0,0
3Month,0.32,19.84,0.32,0.64,0.64,4.48,0.96,0.96,7.04,0.64,1.6,0.64,0.32,0,0,0.32,0.32,5.44,0,102.38,0.96
22Month,0,0,0,0,0,0.55,0,0,0.55,0,0,0,0,0,0,0,0,1.64,0,0,1.09
