stage,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Spermatocyte
24hpf,4.09,0,0,0,0,0,0,12.26,4.09,36.78,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,1.07,0
3Month,0.64,0.32,0.32,2.24,0.96,0.32,0.32,0,0,0,8,0,33.91
22Month,0,0,0,1.64,0,0,0,0,0,0,1.64,0,0
