stage,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Muscle_cell,Primordial_germ_cell
3Month,0.32,16.32,0.32,0.32,0.32,0.64,0.64,0.32,0.64,1.92
22Month,0,6.56,0,0,0,0,0.55,0,0,0
