stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,4.09,8.17,196.15,0,0,0,0,0,0,0,0,0,0,0,0,8.17,36.78,0,0,0,12.26,167.54,0,8.17,0,0,0,0,0,0,0,0
72hpf,3.21,6.42,22.47,0,4.28,0,0,0,1.07,0,0,0,0,0,334.84,3.21,18.19,0,0,0,344.47,48.14,1.07,28.88,0,5.35,10.7,81.3,80.23,2.14,0,0
21Day,5.35,0,32.12,1.34,2.68,0,1.34,0,0,1.34,1.34,6.69,1.34,1.34,99.05,1.34,38.82,0,4.02,1.34,115.11,12.05,0,18.74,8.03,5.35,10.71,147.24,702.73,1.34,0,6.69
3Month,0,0.64,5.44,0.96,0,0.32,0.64,0.32,0,5.76,1.28,0.32,1.6,0.96,23.04,1.28,5.76,1.6,0.96,0.32,0.32,0.32,0,0,0.32,83.83,2.88,0.64,0,0,25.6,0.96
22Month,0.55,2.19,0.55,0,0,0,0,0.55,0,8.2,0.55,0,1.64,0,3.83,0.55,2.19,0,0,0,0.55,0,0,0,0,31.71,3.28,2.19,0,0,0,0
