stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Fibroblast,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,1013.43,0,0,8.17,0,0,0,0,0,0,0,4.09,0,4.09,32.69,0,0,4.09,85.81,0,0,0,0,0,0,0
72hpf,270.66,1.07,0,0,0,0,0,0,0,0,0,1.07,1.07,0,2.14,0,0,9.63,5.35,0,0,0,1.07,0,0,0
21Day,437.7,0,0,5.35,6.69,0,0,0,0,2.68,2.68,0,0,0,10.71,0,0,1.34,2.68,2.68,6.69,0,0,2.68,0,4.02
3Month,9.28,0.32,0.32,1.92,0,0.32,0,0.32,0.32,0,0.64,0,0.32,0.64,4.48,2.56,0.32,0,0,0,0,4.16,0,0,0.32,0
22Month,0.55,0,0,1.09,0,0,1.09,5.47,0,0,0.55,0,0,0.55,4.92,0,0,0,0,0,0,1.64,0,0,0,0
