stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Retinal_cell,Retinal_cone_cell
72hpf,1.07,1.07,0,0,0,0,1.07,31.02,1.07,1.07,0,1.07
21Day,0,1.34,1.34,0,0,0,0,8.03,2.68,0,1.34,2.68
3Month,0,0.32,0,0,0.32,0.32,0,0.32,0,0,0,0
22Month,0,0,0,0.55,0.55,0,0,0,0,0,0,0
