stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,0,0,0,0,0,11.77,2.14,0,1.07,0,0,4.28,0
21Day,0,0,1.34,0,0,0,0,0,0,1.34,0,4.02,9.37,1.34,1.34,2.68,1.34,0,5.35,1.34
3Month,0.32,0,0,1.6,0.32,3.52,0.64,0,0.64,0,0.32,0,0.64,0,0,0.32,0.64,1.92,0,1.6
22Month,1.64,0.55,0,0.55,0,2.73,0,1.64,0.55,0,0,0.55,0,0,0,0.55,0,0,0,0
