stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,T_cell
72hpf,0,2.14,2.14,0,0,0,0,0,2.14,0,0,1.07,2.14,0,0,0
21Day,1.34,1.34,1.34,0,0,0,0,0,1.34,0,0,4.02,2.68,0,1.34,0
3Month,0,0.64,0,0.32,0.96,0,0.32,0,0,0.32,0,0,0,0.32,0,0.32
22Month,0,0,0,0.55,4.37,0.55,0,0.55,0,0,0.55,0,0,0,0,0
