stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Retinal_cone_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0
72hpf,1.07,0,0,0,0,1.07,0,0,0,0,0,1.07,0,0,0,1.07,0,0,0,50.28,0,0,1.07,0,1.07
21Day,0,0,0,0,0,1.34,0,0,0,1.34,0,0,0,0,0,0,0,0,0,21.42,0,0,0,1.34,1.34
3Month,0,0,0.32,0,0,0,0,0,0,3.84,0.64,0,0.64,0.32,0,0.32,0,0,0.32,0,0,0,0,0,0
22Month,0,1.09,0,1.09,0.55,0,0.55,0.55,1.09,78.17,0.55,0,3.28,0.55,3.28,1.64,0.55,4.92,0,1.09,0,1.09,0,1.09,0
