stage,Epithelial_cell,Erythrocyte,Neural_cell,Neural_progenitor_cell,Retinal_cell
24hpf,0,0,0,8.17,0
72hpf,1.07,0,1.07,0,0
21Day,0,2.68,0,0,0
22Month,0,0,0,0,0.55
