stage,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Radial_glia,Spermatocyte
24hpf,0,0,0,0,4.09,4.09,0,0,0
72hpf,0,0,0,0,1.07,0,0,1.07,0
21Day,1.34,0,0,2.68,0,0,0,0,0
3Month,0,0.32,0.32,0,0,0,1.92,0,0.96
22Month,0,0,0,0,0,0,1.64,0,0
