stage,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,1.07,0,1.07,0,0,0,0,3.21,0,0,1.07,0,0,0,0,0
21Day,0,1.34,0,0,0,0,0,1.34,0,0,0,0,2.68,0,0,0,1.34,0,0,0,9.37,0,0,0,0,1.34
3Month,0.64,2.88,0.32,0.96,1.6,2.56,0.96,0,2.56,0.32,0.32,2.56,95.98,0.96,0,0.32,1.28,0,0.64,0.32,63.35,0.64,0.64,0,1.6,1.28
22Month,0,0,0,0,0.55,2.73,0.55,0,0,0,0,0.55,1.09,0,0.55,0,0,0,0,0,3.83,0,0,0.55,0,0
