stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,1.34,0,2.68,0,0,0,0,0,0,1.34,10.71,0,0,0,9.37,0,0,0,1.34,1.34,0,2.68,1.34,0,0,16.06
3Month,0.32,0.64,0.64,0.64,0.64,0,4.48,0,1.92,8,0.32,0.64,0.32,0.32,3.2,0.32,0.32,0.32,0,0,0,0,0,0,0.32,10.88
22Month,0,1.64,1.09,0,0,0.55,4.92,1.09,8.75,4.92,2.19,0.55,0,0,1.09,0.55,0,0,0,0,0.55,0,0.55,0.55,0,7.65
