stage,Endothelial_cell,Epithelial_cell,Goblet_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,4.09,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0
72hpf,0,1.07,0,0,0,0,0,0,0,2.14,1.07,0,0,12.84,0,0,0,0,0,0
21Day,0,5.35,0,0,0,0,2.68,0,0,20.08,0,2.68,1.34,6.69,0,0,1.34,0,0,0
3Month,0.96,3.2,0.96,0,2.24,6.72,1.6,0.32,0.64,5.12,2.24,1.92,0.64,0,0,0.32,0,2.24,0.32,1.28
22Month,0,0,0,0,5.47,5.47,2.19,0,0,0,2.73,1.09,0,0,0,0,0,0,0,0.55
