stage,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
72hpf,0,2.14,0,0,0,0,0,0,0,0,0,0,0,0,1.07,1.07,1.07,0,0,0,0,1.07,0,0,0
21Day,1.34,8.03,0,0,0,0,1.34,0,0,0,0,1.34,0,1.34,0,0,0,0,0,1.34,0,2.68,0,0,0
3Month,2.56,119.34,0.96,3.2,7.04,2.56,0.96,4.16,7.36,3.52,1.6,2.88,0.64,0.32,41.91,0.32,0.32,0,7.04,0.64,2.24,0.64,0.96,42.87,1.28
22Month,1.64,27.88,0,2.19,9.84,0.55,0,1.09,0.55,0,0.55,1.09,0,0,1.09,0,0,2.19,13.12,0,6.01,1.64,0.55,0,0
