stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,8.17,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,16.35,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,0,0,0,0,2.14,0,2.14,3.21,0,0,0,26.74,5.35,0,0,0,2.14,0,0,0,1.07,0,0,0
21Day,0,0,0,0,0,0,0,0,1.34,0,1.34,1.34,0,2.68,5.35,0,2.68,0,6.69,0,0,0,0,0,0,0,0,0,0,0,12.05
3Month,0.32,1.28,0.64,13.76,0.64,0.96,0,4.8,4.8,0.32,3.84,40.95,2.88,8.32,20.16,0.32,16.96,0.64,0.64,0,0,0.32,0,1.28,0.96,19.2,0.96,0,161.25,2.88,37.11
22Month,0,0,0,4.37,0.55,2.19,0.55,11.48,3.28,0,1.09,4.37,0,7.11,4.92,0,2.19,0,0,0,1.64,2.19,0.55,0.55,0,7.11,0,0,29.52,0,35.53
