stage,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Neural_cell,Primordial_germ_cell,Retinal_cone_cell
72hpf,0,0,0,0,1.07,0,0
21Day,8.03,0,0,0,0,0,1.34
3Month,0.64,0,0.32,0.64,0,0.32,0
22Month,0.55,0.55,0.55,4.37,0,0,0
