stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell
24hpf,0,0,0,0,0,0,0,0,0,4.09,24.52,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,5.35,1.07,0,3.21,0,0
21Day,0,0,1.34,0,0,0,0,0,1.34,12.05,0,0,0,1.34,0
3Month,0.64,0.32,0,0,0,0,0,0.64,0,0,0,0,0,0,0.32
22Month,1.64,0,0,0.55,0.55,7.65,0.55,1.09,0,1.64,0,0.55,0,0,0
