stage,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,16.35,0,0,0,0,0,0,0,4.09,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,63.12,1.07,0,0,0,0,0,0,11.77,86.65,25.67,0,0,2.14,0,4.28,1.07,0,0,1.07,0,0,1.07,0,0
21Day,66.93,0,1.34,0,0,0,0,1.34,0,105.74,5.35,1.34,0,0,0,4.02,0,0,1.34,0,2.68,1.34,0,0,0
3Month,8,0,0,0.32,4.8,1.28,0.96,0.32,0,1.6,61.11,0,0.64,0,0.32,0.64,0,0,0,0.32,0.64,5.44,0,0.32,0.64
22Month,3.83,0,0,0,2.19,2.19,0,0.55,0,1.64,60.13,0,0,0,0,0,0,0.55,0,0,0,12.57,0,0,0.55
