stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0
72hpf,0,0,1.07,0,0,0,0,0,1.07,2.14,0,2.14,1.07,0,4.28,1.07,3.21,0,0,0,0
21Day,0,0,5.35,0,0,0,0,0,0,1.34,0,1.34,1.34,0,0,1.34,0,0,0,0,0
3Month,0,0,2.24,0.32,0,5.12,0.32,2.88,0,0,0,0,0,0.32,0,0,0,0.32,0.32,0.32,0.96
22Month,0,0.55,3.83,0.55,1.64,2.19,0,0.55,0,0,1.09,0.55,0,0,0,0,0,0,0,0,0
