stage,Epithelial_cell,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_progenitor_cell,Spermatocyte
72hpf,0,0,0,0,0,0,1.07,0,0,0,0
21Day,1.34,0,0,0,0,0,0,0,0,1.34,0
3Month,0.32,1.92,0,0.32,0,0.32,0,0.64,0.32,0,0.32
22Month,0.55,0,0.55,0,4.92,0.55,0,0,0,0,0
