stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,8.17,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,28.6,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,2.14,3.21,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,37.44,1.07,0,0,1.07,0,0,2.14,0,0,0,0
21Day,0,0,6.69,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0,2.68,2.68,0,0,0,0,4.02,0,1.34,0,1.34,0
3Month,1.92,0.96,20.16,0,0.32,1.92,0.96,14.4,1.6,0,5.12,5.12,1.6,3.2,3.2,0.32,0,1.92,4.8,0.32,0.64,0.32,0,0.32,92.47,0.32,0,0.32,540.07,4.48
22Month,1.09,0.55,7.65,0,0,0.55,0,7.11,0,1.09,2.19,0,0.55,0.55,1.64,0,0.55,1.64,0,0,0,0,0,0,19.13,0.55,0,0,1.09,0
