stage,Epithelial_cell,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Keratinocyte,Macrophage,Neural_cell,Osteoblast,T_cell
24hpf,0,0,0,0,0,0,0,12.26,0,0,0
72hpf,0,0,0,0,0,0,0,0,1.07,0,0
21Day,0,0,0,0,0,1.34,0,5.35,0,1.34,1.34
3Month,0,0,0.32,1.28,3.2,0,0.64,0.64,0,0,2.88
22Month,0.55,0.55,1.64,3.28,1.09,0.55,0,1.64,0,0,1.64
