stage,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Mesenchymal_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell
72hpf,0,0,0,0,0,0,1.07,0,0
21Day,1.34,0,0,0,0,0,0,0,0
3Month,0,0,0.32,0,0.32,0.32,0,0,0.64
22Month,0,0.55,0,0.55,0,0,0,0.55,0
