stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,24.52,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,2.14,1.07,0,0,0,0,0,0,0,0,0,0,0,0,4.28,0,0,1.07,0,38.51,1.07,0,0,3.21,0,0,0,0,0,0,0
21Day,0,0,0,2.68,1.34,0,0,0,0,0,0,0,0,2.68,0,2.68,0,6.69,0,0,0,0,21.42,1.34,0,0,2.68,1.34,0,0,0,0,0,1.34
3Month,0,0.64,0.32,3.52,0,0,0.32,1.92,1.92,0,6.4,1.28,0.64,6.4,0.32,2.88,2.88,14.72,2.88,0,2.24,0.96,6.08,0,1.6,0,0.32,1.28,62.71,0.32,0,0.96,16.32,11.84
22Month,0.55,3.28,0,6.56,0,0.55,0,0.55,6.56,1.64,31.71,3.28,2.19,9.84,0,1.09,3.28,15.85,1.09,1.09,0.55,0,12.03,0,2.73,3.28,0,0,9.84,0.55,0.55,0,0,38.27
