stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,24.52,0,0,0,0,8.17,106.25,0,0,0,0,0,0,0,0,0,0
72hpf,4.28,0,0,2.14,1.07,2.14,0,0,0,0,0,0,0,0,0,4.28,6.42,0,3.21,0,1.07,0,0,36.37,32.09,0,3.21,3.21,0,1.07,0,0,0,0,0
21Day,6.69,0,0,16.06,0,8.03,0,4.02,0,1.34,0,0,0,8.03,0,0,8.03,5.35,17.4,0,0,2.68,0,12.05,10.71,2.68,8.03,1.34,1.34,0,0,2.68,0,0,1.34
3Month,0,2.24,0.96,18.88,0,0,0.32,0.32,0.96,2.88,0,20.8,6.08,2.24,6.08,0.32,6.08,7.04,9.6,1.28,0,1.28,0.32,0,0,0.64,0.32,0.96,10.24,0.64,0,0,1.28,1.28,4.8
22Month,0.55,2.73,0.55,6.56,0,0,1.09,0.55,0,6.01,8.75,111.52,5.47,6.56,13.12,0,1.09,6.01,9.29,0,3.83,0,0,0,0,0.55,0,0,0.55,0.55,1.09,0,0.55,0,2.19
