stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,8.17,4.09,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,4.09,8.17,0,0,0,0,20.43,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,3.21,78.09,0,0,0,1.07,0,0,0,0,0,0,0,0,0,1.07,0,17.12,0,0,4.28,12.84,10.7,0,6.42,0,16.05,0,0,85.58,0,1.07,2.14,0,0,0
21Day,4.02,28.11,0,8.03,0,2.68,0,0,1.34,0,1.34,0,0,0,0,0,1.34,60.23,0,0,6.69,8.03,12.05,0,10.71,0,17.4,5.35,0,66.93,2.68,2.68,0,0,0,0
3Month,0,80.63,0,3.52,0,0,2.56,0.32,1.92,0,3.52,1.28,0.32,1.28,0.32,1.28,4.8,24,4.16,0,7.04,0.32,0,0,8.64,0,0,0.96,15.68,32.31,0.32,0,0,11.52,3.52,0.32
22Month,0,227.41,1.09,3.28,0.55,0,2.19,1.09,7.11,7.65,15.31,1.64,1.09,2.73,0,0.55,4.92,18.04,0.55,1.09,4.92,0,1.09,0.55,35.53,0.55,0.55,0.55,5.47,100.58,0.55,0,0.55,9.29,0,2.19
