stage,Epithelial_cell,Granulocyte,Immune_cell,Intestinal_bulb_cell,Mesenchymal_cell,Nephron_cell,Neural_cell,Primordial_germ_cell
72hpf,0,0,0,0,0,0,2.14,0
21Day,0,0,0,0,0,0,1.34,0
3Month,0.64,0.32,0,0,0,0.32,5.44,0
22Month,0,0,0.55,0.55,0.55,0,0,2.73
