stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,3.21,0,0,0,0,0,0,0,1.07,0,0,0,98.42,4.28,0,1.07,0,2.14,6.42,1.07,0,0
21Day,0,1.34,0,1.34,2.68,0,0,0,0,0,0,0,0,1.34,2.68,0,20.08,0,0,1.34,0,0,1.34,9.37,0,0
3Month,0,0,0,1.28,0,0.32,0.32,0,2.56,0.32,0.64,0.32,0,0.64,0,0.96,0,0,0,0.32,0.96,0,0,0,1.92,0.32
22Month,0.55,0.55,0.55,1.64,0,0.55,1.09,1.64,19.68,1.09,1.09,0,0.55,0,0,0,0,0,0.55,0,0.55,1.09,0.55,0,0,0
